Cost	Requests	Runtime
492.067427758	43.0	9.08374786377e-05	
937.355332914	75.0	0.000166893005371	
312.35780557	27.0	5.3882598877e-05	
557.583007523	43.0	7.20024108887e-05	
826.00257475	77.0	0.000119924545288	
516.376698117	41.0	7.31945037842e-05	
386.436164748	25.0	7.89165496826e-05	
232.705758278	16.0	5.00679016113e-05	
1002.76038582	77.0	0.000125169754028	
696.762138609	41.0	7.91549682617e-05	
828.281038248	85.0	0.000185966491699	
581.242932318	51.0	7.89165496826e-05	
332.767238025	25.0	4.79221343994e-05	
827.349547733	60.0	9.20295715332e-05	
781.234810127	86.0	0.000123023986816	
481.854040379	34.0	6.00814819336e-05	
359.897415564	14.0	3.60012054443e-05	
703.212077941	50.0	8.10623168945e-05	
386.207472454	26.0	5.50746917725e-05	
735.850056505	53.0	8.98838043213e-05	
1111.67956112	104.0	0.000162124633789	
308.205194802	24.0	4.50611114502e-05	
1113.29009903	84.0	0.000126838684082	
165.935780246	13.0	3.31401824951e-05	
503.084604882	34.0	6.00814819336e-05	
717.225410914	52.0	8.29696655273e-05	
1029.12980427	95.0	0.0001380443573	
900.370239141	76.0	0.000114917755127	
826.697034561	67.0	0.000109910964966	
517.51471147	37.0	7.29560852051e-05	
134.958687204	15.0	3.50475311279e-05	
771.213630845	60.0	0.000101089477539	
148.02502274	8.0	2.38418579102e-05	
216.950855909	14.0	3.60012054443e-05	
1176.2381308	95.0	0.000140905380249	
701.797821958	43.0	7.29560852051e-05	
1003.43239798	77.0	0.000121116638184	
524.093131859	32.0	5.88893890381e-05	
408.710834218	38.0	8.51154327393e-05	
364.602762895	23.0	5.88893890381e-05	
768.628805566	66.0	0.000120878219604	
283.259514975	23.0	4.6968460083e-05	
218.724085066	25.0	7.79628753662e-05	
875.505392504	84.0	0.000231027603149	
738.48237993	59.0	0.00010085105896	
297.535100004	16.0	3.71932983398e-05	
199.379432795	23.0	4.31537628174e-05	
366.477897303	34.0	5.69820404053e-05	
720.298994139	58.0	9.20295715332e-05	
526.185475775	60.0	0.000124931335449	
