Cost	Requests	Runtime
354.63563522	169.0	0.00171113014221	
794.541579537	321.0	0.00276494026184	
208.478978535	77.0	0.000720024108887	
211.495792826	24.0	0.000231981277466	
882.612476026	340.0	0.00268697738647	
421.682195488	192.0	0.00170397758484	
576.669570522	222.0	0.00266480445862	
318.987845072	164.0	0.001540184021	
525.533222361	274.0	0.00263500213623	
752.232326965	243.0	0.00219202041626	
691.828820094	292.0	0.00270009040833	
234.518326578	96.0	0.000969886779785	
471.122996866	141.0	0.00129294395447	
329.940224991	195.0	0.00181698799133	
723.326794194	330.0	0.00277209281921	
162.357633017	21.0	0.000203132629395	
481.26162351	260.0	0.00216507911682	
446.059035203	184.0	0.00176000595093	
129.349724979	38.0	0.000394105911255	
597.860085855	229.0	0.0021870136261	
574.950500894	290.0	0.00261306762695	
359.420868118	178.0	0.00152897834778	
632.625718027	256.0	0.00213193893433	
882.404008665	314.0	0.00277996063232	
240.54062166	98.0	0.000859022140503	
126.113126344	31.0	0.000288009643555	
730.734874978	265.0	0.0022439956665	
262.455987503	155.0	0.00133585929871	
648.87058283	269.0	0.0022189617157	
213.256524941	60.0	0.000510931015015	
216.084163532	55.0	0.000512838363647	
361.127501004	226.0	0.00201511383057	
535.491822237	218.0	0.00190901756287	
547.818311935	221.0	0.00185608863831	
502.476844086	290.0	0.00239276885986	
522.573207225	278.0	0.00229096412659	
784.057719968	323.0	0.0027539730072	
357.778912307	113.0	0.00105094909668	
431.24637561	239.0	0.00210309028625	
388.107571303	131.0	0.00114107131958	
293.402200756	81.0	0.000694990158081	
327.94057662	147.0	0.00128793716431	
778.825681113	285.0	0.00233602523804	
629.184277468	275.0	0.00227618217468	
758.57782008	306.0	0.00299286842346	
580.343388189	204.0	0.00225496292114	
435.710182621	277.0	0.00256204605103	
644.715152559	320.0	0.0029890537262	
513.98291889	243.0	0.00220704078674	
370.278000023	227.0	0.00216698646545	
307.61859457	99.0	0.000887155532837	
549.678215885	192.0	0.00168490409851	
189.831643524	79.0	0.000709056854248	
543.776280048	302.0	0.00259304046631	
641.94835344	275.0	0.00227999687195	
506.541539512	226.0	0.002201795578	
711.985782764	305.0	0.00291514396667	
445.014797568	285.0	0.0028350353241	
528.608754432	186.0	0.00164198875427	
756.049907377	279.0	0.00237202644348	
455.93068786	218.0	0.00212907791138	
44.0356688476	12.0	0.000157117843628	
547.831280072	258.0	0.00490283966064	
340.938186079	153.0	0.00279593467712	
769.806030403	312.0	0.00576400756836	
735.508480735	302.0	0.0045371055603	
307.270444784	99.0	0.000859975814819	
404.551583281	189.0	0.00168704986572	
427.86752265	172.0	0.00167298316956	
979.640997989	328.0	0.00296306610107	
736.887329353	310.0	0.00280094146729	
