Cost	Requests	Runtime
445.251864018	52.0	0.000108003616333	
841.090846259	88.0	0.000134944915771	
314.507086765	23.0	5.29289245605e-05	
211.495792826	10.0	3.40938568115e-05	
1053.07579457	102.0	0.000144958496094	
441.682289665	51.0	8.10623168945e-05	
576.669570522	68.0	0.000103950500488	
318.987845072	33.0	5.69820404053e-05	
586.871939254	70.0	0.000112056732178	
752.232326965	54.0	0.000102996826172	
704.498738199	85.0	0.00012993812561	
193.439871653	25.0	5.10215759277e-05	
471.122996866	43.0	7.20024108887e-05	
329.940224991	42.0	7.10487365723e-05	
813.547792276	97.0	0.000138998031616	
162.357633017	10.0	3.2901763916e-05	
541.29352553	52.0	8.20159912109e-05	
494.638539356	51.0	8.10623168945e-05	
129.349724979	8.0	2.28881835938e-05	
597.860085855	48.0	8.39233398438e-05	
576.384736179	87.0	0.000124931335449	
367.822312171	34.0	6.103515625e-05	
756.072237026	77.0	0.000112056732178	
985.30004403	109.0	0.000156164169312	
228.616274833	31.0	5.60283660889e-05	
263.712454598	19.0	4.19616699219e-05	
1055.9216357	103.0	0.000141859054565	
262.455987503	25.0	4.72068786621e-05	
718.570174301	88.0	0.000123023986816	
199.007504378	24.0	4.50611114502e-05	
216.084163532	8.0	2.50339508057e-05	
479.114979999	43.0	7.10487365723e-05	
626.251055534	59.0	8.9168548584e-05	
579.658945069	61.0	9.10758972168e-05	
488.508121007	78.0	0.000111818313599	
554.790795881	58.0	9.20295715332e-05	
821.827406912	79.0	0.000113964080811	
357.778912307	19.0	4.38690185547e-05	
487.231948839	43.0	7.00950622559e-05	
388.107571303	34.0	5.91278076172e-05	
315.279655515	21.0	4.50611114502e-05	
327.94057662	34.0	5.69820404053e-05	
781.647940054	76.0	0.000108003616333	
680.658357359	70.0	0.000103950500488	
762.040728212	77.0	0.000110149383545	
591.019294734	61.0	0.000141859054565	
478.258202594	58.0	8.70227813721e-05	
644.715152559	61.0	0.000132083892822	
577.829004471	61.0	9.70363616943e-05	
408.63552366	52.0	8.41617584229e-05	
374.571833315	32.0	5.98430633545e-05	
589.923318323	61.0	9.58442687988e-05	
189.831643524	16.0	3.50475311279e-05	
619.77376835	76.0	0.000114917755127	
774.807289372	84.0	0.000123977661133	
506.051128086	52.0	8.10623168945e-05	
890.414846138	95.0	0.000149965286255	
483.72280902	59.0	9.29832458496e-05	
647.138371971	57.0	9.48905944824e-05	
815.232214594	86.0	0.000125885009766	
525.574847865	43.0	8.29696655273e-05	
