Cost	Requests	Runtime
803.692472572	88.0	0.000144958496094	
298.413122092	41.0	7.41481781006e-05	
885.20129406	79.0	0.000113964080811	
392.708333923	41.0	6.38961791992e-05	
471.338427641	57.0	8.39233398438e-05	
730.171890902	70.0	9.98973846436e-05	
587.568710006	67.0	9.79900360107e-05	
228.956887038	28.0	8.48770141602e-05	
425.233455822	52.0	8.39233398438e-05	
440.469063911	43.0	7.20024108887e-05	
197.936773118	9.0	3.60012054443e-05	
786.70292037	77.0	0.0001540184021	
231.57975205	25.0	5.19752502441e-05	
21.7866444324	16.0	3.60012054443e-05	
82.2760250731	8.0	2.50339508057e-05	
372.508397694	41.0	7.20024108887e-05	
927.161047413	103.0	0.000158071517944	
487.906674183	52.0	8.39233398438e-05	
620.920340114	77.0	0.000123977661133	
532.10009409	61.0	0.000105857849121	
829.633440708	96.0	0.000209093093872	
428.13728562	43.0	7.20024108887e-05	
927.590928444	104.0	0.000149011611938	
316.96821933	32.0	5.60283660889e-05	
374.190474518	41.0	7.00950622559e-05	
605.142225897	40.0	8.98838043213e-05	
380.296138446	49.0	9.29832458496e-05	
720.327614255	65.0	9.98973846436e-05	
1223.74780883	147.0	0.000200033187866	
872.88928973	87.0	0.000133037567139	
602.753655832	68.0	0.000105142593384	
89.4427191	8.0	2.09808349609e-05	
538.406272107	61.0	9.29832458496e-05	
718.508209154	103.0	0.000142097473145	
781.183503987	97.0	0.000144958496094	
568.495158982	69.0	0.0001060962677	
896.818074314	85.0	0.000143051147461	
453.181735757	34.0	6.50882720947e-05	
476.613057482	61.0	9.29832458496e-05	
845.177351019	72.0	0.00012993812561	
774.70046094	79.0	0.00011420249939	
675.39286921	51.0	0.000154972076416	
187.704163337	25.0	4.79221343994e-05	
833.620904422	77.0	0.000113010406494	
415.215166273	43.0	6.50882720947e-05	
318.269194566	25.0	4.88758087158e-05	
419.668216397	41.0	7.10487365723e-05	
239.931014242	14.0	4.10079956055e-05	
471.630918182	59.0	9.32216644287e-05	
437.146272	43.0	7.39097595215e-05	
504.696338972	69.0	0.000102996826172	
316.108461969	34.0	5.69820404053e-05	
277.914260141	24.0	4.38690185547e-05	
198.110902147	23.0	4.72068786621e-05	
967.288200932	112.0	0.000150918960571	
570.436920875	61.0	9.3936920166e-05	
356.668866389	13.0	3.50475311279e-05	
163.292556648	16.0	3.50475311279e-05	
135.070273919	15.0	3.09944152832e-05	
589.458748737	68.0	0.00010085105896	
659.505813928	68.0	9.98973846436e-05	
54.0264715212	8.0	2.38418579102e-05	
713.700407455	76.0	0.000108957290649	
399.975432064	52.0	8.01086425781e-05	
460.332474171	52.0	8.10623168945e-05	
731.334204203	82.0	0.000119924545288	
572.779078487	60.0	9.10758972168e-05	
205.298941424	33.0	5.69820404053e-05	
609.336573151	68.0	0.000100135803223	
527.439293292	61.0	8.9168548584e-05	
516.100119616	69.0	9.79900360107e-05	
192.956826349	16.0	3.50475311279e-05	
429.73806931	68.0	9.79900360107e-05	
483.292951251	52.0	7.60555267334e-05	
318.451017699	25.0	4.57763671875e-05	
184.892453504	16.0	3.88622283936e-05	
642.247212752	76.0	0.000106811523438	
401.563955324	34.0	5.91278076172e-05	
605.058066379	73.0	0.000102996826172	
363.32496437	43.0	7.00950622559e-05	
683.365129845	77.0	0.000117063522339	
261.741965112	25.0	6.00814819336e-05	
658.344550146	77.0	0.000109910964966	
301.455695884	33.0	5.60283660889e-05	
459.327702791	61.0	9.01222229004e-05	
676.947737359	68.0	0.000147104263306	
590.893195311	61.0	0.000169992446899	
939.263483026	104.0	0.000178813934326	
414.526989036	43.0	6.79492950439e-05	
694.210528579	59.0	9.41753387451e-05	
794.137773565	95.0	0.000135898590088	
693.282921835	79.0	0.000136852264404	
120.929181348	8.0	2.19345092773e-05	
600.736557095	67.0	9.79900360107e-05	
708.903346626	67.0	9.89437103271e-05	
468.073639767	51.0	7.60555267334e-05	
608.441795578	70.0	0.000102043151855	
341.730210032	32.0	5.91278076172e-05	
440.804280016	40.0	6.69956207275e-05	
232.08957437	12.0	3.00407409668e-05	
874.719359632	106.0	0.000144004821777	
289.743946098	50.0	0.000124216079712	
865.363075526	94.0	0.00012993812561	
