Cost	Requests	Runtime
740.706472946	78.0	0.000144958496094	
317.756370797	25.0	7.48634338379e-05	
1470.05301176	160.0	0.000269174575806	
949.049467507	106.0	0.000185966491699	
4042.45748975	465.0	0.000695943832397	
3873.52601949	508.0	0.00075101852417	
1712.15647407	187.0	0.000298976898193	
1843.25068775	232.0	0.000354051589966	
1560.59672739	187.0	0.000275850296021	
1508.52423749	178.0	0.000284910202026	
6030.21454557	781.0	0.00119400024414	
2978.22022568	338.0	0.000540018081665	
2647.48764681	339.0	0.000493049621582	
1594.10322489	160.0	0.000253915786743	
1002.87888038	132.0	0.000213861465454	
4876.15459892	597.0	0.000956058502197	
2704.04266633	331.0	0.000524997711182	
4485.95210406	534.0	0.000761032104492	
1706.99529873	178.0	0.000272989273071	
2027.48803578	221.0	0.000338077545166	
2550.60417432	346.0	0.000538110733032	
1443.39516069	178.0	0.000270843505859	
505.334696928	60.0	0.000108003616333	
1191.5340584	142.0	0.000227212905884	
266.128881095	31.0	6.38961791992e-05	
3411.50316614	376.0	0.000550985336304	
2522.98457694	321.0	0.00047492980957	
2892.79860712	394.0	0.000545978546143	
3908.66472054	438.0	0.000687837600708	
959.004624832	106.0	0.000194072723389	
1854.08942614	222.0	0.000400066375732	
3127.82566737	394.0	0.000612020492554	
2285.00744841	249.0	0.000443935394287	
4260.05624751	565.0	0.000911951065063	
1356.83224192	160.0	0.000257015228271	
1812.81331832	214.0	0.000355005264282	
3487.37907101	457.0	0.00146198272705	
1522.51200004	160.0	0.000271081924438	
2142.15641142	221.0	0.000384092330933	
3688.12076479	420.0	0.000773191452026	
2987.52727196	393.0	0.000571966171265	
1771.66908121	250.0	0.00037693977356	
3879.18666277	455.0	0.000708103179932	
2636.37490097	330.0	0.000566959381104	
1502.29151153	178.0	0.00031304359436	
3316.48657294	376.0	0.000698089599609	
916.125559551	97.0	0.000195980072021	
5569.19207463	709.0	0.00108218193054	
2370.78889473	304.0	0.000482082366943	
1952.83673799	223.0	0.000349998474121	
3180.44736416	394.0	0.000586986541748	
4630.68341639	538.0	0.000772953033447	
2812.93744736	322.0	0.000513076782227	
4818.61946979	590.0	0.00116491317749	
3550.21018625	394.0	0.000649929046631	
2382.33396389	277.0	0.000477075576782	
1898.38543053	223.0	0.000356912612915	
3662.82500198	391.0	0.000574827194214	
1388.76874517	173.0	0.000288963317871	
2995.38761423	339.0	0.000499963760376	
3510.97844478	457.0	0.000675916671753	
3576.31784981	430.0	0.000669002532959	
2093.25369255	240.0	0.000345945358276	
1528.68955723	187.0	0.000284910202026	
4116.37075764	500.0	0.00078010559082	
2842.02099195	358.0	0.000532150268555	
3764.82400636	394.0	0.000574111938477	
1570.73770941	151.0	0.000221967697144	
1932.5429472	205.0	0.00028920173645	
3403.38348521	403.0	0.000643968582153	
1768.53791956	223.0	0.000368118286133	
1270.92705126	160.0	0.00032901763916	
3994.65399661	509.0	0.000798940658569	
1323.93994282	151.0	0.000247955322266	
2407.39852422	268.0	0.000403881072998	
3553.83708173	421.0	0.000667095184326	
2553.67603285	250.0	0.000396966934204	
951.585601533	106.0	0.000186920166016	
4019.57719668	484.0	0.000747919082642	
2130.73190274	283.0	0.00045919418335	
1803.04093872	205.0	0.00031590461731	
1274.39569183	159.0	0.000247955322266	
1798.70206868	196.0	0.00032901763916	
1620.16006318	170.0	0.000288963317871	
2280.60293616	259.0	0.00037693977356	
1488.33840749	150.0	0.00022292137146	
3403.43155044	400.0	0.00059700012207	
2965.51158942	313.0	0.000472068786621	
914.451386814	92.0	0.000184059143066	
2257.64715802	304.0	0.000462055206299	
2943.61897623	322.0	0.00047492980957	
2747.02960177	340.0	0.00049901008606	
2104.20745063	285.0	0.000487089157104	
5289.56257162	674.0	0.00106716156006	
1707.86409324	178.0	0.000314950942993	
2120.84487729	267.0	0.000500917434692	
2878.24033756	367.0	0.000624179840088	
1386.44750623	177.0	0.000346183776855	
3560.05976307	437.0	0.000683069229126	
2912.78157954	340.0	0.00055980682373	
5169.73229567	727.0	0.00109195709229	
1412.41182442	160.0	0.000239133834839	
3691.19414914	421.0	0.000607967376709	
862.175775417	97.0	0.000154972076416	
2265.62681633	295.0	0.000426054000854	
1338.01511145	151.0	0.000244855880737	
493.137800363	52.0	9.58442687988e-05	
2142.70806857	295.0	0.000479936599731	
2109.71114628	249.0	0.000375986099243	
3935.59478316	421.0	0.000679969787598	
779.734587073	97.0	0.000164031982422	
1224.2841771	160.0	0.000253915786743	
2584.25503364	294.0	0.000433921813965	
1108.0893671	142.0	0.000221014022827	
2374.12892861	285.0	0.000433921813965	
3383.66118292	430.0	0.000652074813843	
3495.52493216	410.0	0.000656843185425	
4287.17231319	557.0	0.000793218612671	
3839.59858217	457.0	0.000665903091431	
3849.30938166	466.0	0.00069785118103	
1723.58778061	223.0	0.000462055206299	
2991.17113256	385.0	0.000555992126465	
1158.03540189	150.0	0.000235080718994	
2116.79230084	232.0	0.00036096572876	
2835.42727371	340.0	0.000501155853271	
3425.03049021	358.0	0.00051212310791	
971.87230171	133.0	0.000207185745239	
1511.74735396	169.0	0.000261783599854	
2466.11382779	292.0	0.000427007675171	
1742.09108957	214.0	0.000319957733154	
2917.59359796	364.0	0.000533103942871	
2895.84869037	385.0	0.000576972961426	
2709.00466805	304.0	0.000622034072876	
1552.39204704	178.0	0.000319957733154	
2752.16191759	294.0	0.000487089157104	
3452.60004425	394.0	0.000596046447754	
373.494075328	34.0	7.39097595215e-05	
3186.01296071	394.0	0.000625133514404	
4463.39326104	502.0	0.000778913497925	
3333.71606142	420.0	0.000694036483765	
903.354312229	96.0	0.000176906585693	
1451.28646608	160.0	0.000287055969238	
1467.63736259	169.0	0.000286102294922	
1877.39960264	256.0	0.000436067581177	
2090.9762422	214.0	0.000368118286133	
847.540981752	115.0	0.000217199325562	
1560.69978165	185.0	0.000286102294922	
2842.18345595	367.0	0.000982046127319	
1777.12907596	229.0	0.000370979309082	
3811.69276619	466.0	0.000787019729614	
4562.45712547	563.0	0.000810861587524	
1104.04444455	142.0	0.000234127044678	
3201.15858957	349.0	0.00055193901062	
3832.40160914	430.0	0.000622987747192	
418.100803848	34.0	7.79628753662e-05	
4133.00255557	547.0	0.000885963439941	
1322.00414632	124.0	0.000198125839233	
2674.21849227	366.0	0.000539064407349	
961.526805253	106.0	0.000198125839233	
723.631842761	86.0	0.000152111053467	
2891.88626353	357.0	0.000550985336304	
3178.95365252	385.0	0.000602006912231	
4102.93810576	518.0	0.000732898712158	
2460.30096064	250.0	0.000378847122192	
481.14129397	43.0	7.82012939453e-05	
471.509631076	52.0	9.41753387451e-05	
2153.9776492	247.0	0.000357866287231	
769.547792225	104.0	0.000164985656738	
922.151199388	106.0	0.000194072723389	
4064.20737615	523.0	0.000761032104492	
2897.09580093	338.0	0.000482082366943	
5301.15366004	646.0	0.000961065292358	
734.727915017	95.0	0.000257968902588	
3034.49650832	403.0	0.00068187713623	
4345.91016924	465.0	0.000678062438965	
4511.62595887	638.0	0.000965118408203	
3819.51876444	448.0	0.000706911087036	
841.757040523	88.0	0.000159025192261	
2344.45666664	340.0	0.000523090362549	
3438.83523656	421.0	0.000645875930786	
3962.1264405	520.0	0.000746011734009	
1434.56361315	151.0	0.000241994857788	
2446.65372397	295.0	0.000504970550537	
3102.33532218	329.0	0.000503063201904	
2237.47136452	250.0	0.00037693977356	
2831.20440683	302.0	0.000454902648926	
3346.4304262	349.0	0.000620126724243	
2428.47651314	286.0	0.000484943389893	
4110.89413244	498.0	0.000714063644409	
2944.19114311	419.0	0.000627994537354	
2267.18854992	248.0	0.000350952148438	
1147.34694311	148.0	0.000247001647949	
1891.5579921	204.0	0.000331878662109	
3718.36030082	474.0	0.000709056854248	
1327.17368823	169.0	0.000279903411865	
3382.91360432	430.0	0.000648021697998	
658.322643481	79.0	0.000166893005371	
1657.33205295	169.0	0.000280141830444	
1028.643828	124.0	0.000200033187866	
2395.61572448	240.0	0.000416040420532	
3253.76038445	366.0	0.000524997711182	
862.363470466	106.0	0.000185966491699	
4288.8805327	455.0	0.000655889511108	
3327.21021175	366.0	0.000564098358154	
704.001830063	87.0	0.00014591217041	
2976.65311249	410.0	0.000577926635742	
1983.26592785	276.0	0.000410079956055	
3248.70591349	367.0	0.000598907470703	
3032.3840673	349.0	0.000527858734131	
785.18498711	96.0	0.000169992446899	
1826.34072636	196.0	0.000302076339722	
2182.51781318	275.0	0.000432014465332	
1740.79678115	240.0	0.000359058380127	
2548.18519466	322.0	0.000503063201904	
3108.92924605	394.0	0.00058388710022	
1740.39652729	249.0	0.00042200088501	
1049.35025432	142.0	0.000262022018433	
2236.78960601	268.0	0.000422954559326	
521.552237073	52.0	0.000121116638184	
3478.30305222	375.0	0.000580072402954	
1410.62993112	158.0	0.000303030014038	
1928.53873433	196.0	0.000420093536377	
1688.94421951	204.0	0.000336170196533	
681.510470089	88.0	0.000184059143066	
4249.45470836	499.0	0.000828981399536	
2048.80829937	240.0	0.000411987304688	
4534.89006232	520.0	0.000804901123047	
2465.68146069	268.0	0.00049901008606	
2561.76589048	322.0	0.000563859939575	
1733.08115482	169.0	0.000310897827148	
2942.09378063	357.0	0.000653028488159	
5167.73967161	646.0	0.00129079818726	
1170.17177661	160.0	0.000272989273071	
