Cost	Requests	Runtime
1245.69511901	97.0	0.000174999237061	
755.680259183	70.0	0.0001220703125	
1400.16721886	166.0	0.000216007232666	
394.395553031	34.0	6.91413879395e-05	
65.3579517597	7.0	2.28881835938e-05	
1013.61825383	86.0	0.000143051147461	
90.6439450853	15.0	3.2901763916e-05	
2218.09116527	178.0	0.000272989273071	
555.022065865	61.0	9.60826873779e-05	
1737.44980568	160.0	0.000223875045776	
241.354855245	25.0	4.91142272949e-05	
2309.05718231	201.0	0.000278949737549	
1233.17034534	122.0	0.000171899795532	
2679.50536839	246.0	0.00033712387085	
897.208627142	70.0	0.000138998031616	
101.400197238	8.0	2.59876251221e-05	
977.181386419	88.0	0.000147819519043	
1350.36062379	104.0	0.000178813934326	
655.556136658	77.0	0.000136137008667	
744.325585436	61.0	0.000120878219604	
1165.78760985	97.0	0.00019097328186	
1925.63683134	177.0	0.000286817550659	
1064.29062632	104.0	0.000181913375854	
1888.48207964	176.0	0.000266075134277	
246.434260609	16.0	4.10079956055e-05	
652.47646411	52.0	9.3936920166e-05	
335.515596799	25.0	4.98294830322e-05	
1598.63763873	150.0	0.00022292137146	
1790.5464477	178.0	0.00025200843811	
1136.37705585	114.0	0.000159025192261	
1252.12445719	124.0	0.000174045562744	
1534.72746122	157.0	0.000231027603149	
713.177943626	61.0	9.91821289062e-05	
1244.44061222	124.0	0.000191926956177	
992.320502978	78.0	0.000135898590088	
1110.91235439	70.0	0.000108003616333	
1872.97843705	122.0	0.00017786026001	
963.473213439	88.0	0.000152826309204	
1301.32824572	115.0	0.000195980072021	
1397.3170448	147.0	0.000247001647949	
327.735908239	30.0	6.69956207275e-05	
1486.21283891	131.0	0.000260829925537	
583.916592602	68.0	0.000102043151855	
619.272145817	52.0	9.3936920166e-05	
1047.67324939	113.0	0.000236988067627	
1339.7444434	124.0	0.000176906585693	
590.591468367	51.0	8.82148742676e-05	
920.469939651	88.0	0.000130891799927	
152.285036857	6.0	2.28881835938e-05	
1703.2921545	139.0	0.000195980072021	
681.303774833	70.0	0.000103950500488	
578.348246031	52.0	8.20159912109e-05	
1790.60023459	159.0	0.000219106674194	
1531.01952821	139.0	0.000220060348511	
1379.53039351	133.0	0.000208854675293	
1398.26919169	115.0	0.000180006027222	
352.247493574	25.0	4.88758087158e-05	
1288.91339622	106.0	0.000163793563843	
1343.42965107	115.0	0.000166177749634	
1739.12818745	131.0	0.000197887420654	
1346.57124955	115.0	0.000173091888428	
1016.69152694	85.0	0.000128030776978	
1566.34507309	131.0	0.000237941741943	
759.715666862	43.0	8.20159912109e-05	
1467.02517238	132.0	0.000234127044678	
1383.96369501	141.0	0.000205993652344	
272.61450964	8.0	2.69412994385e-05	
