Cost	Requests	Runtime
5395.00825174	572.0	0.00094199180603	
903.44324497	97.0	0.000184059143066	
6329.65885448	700.0	0.00114011764526	
2786.36038141	311.0	0.00053596496582	
1951.83991559	196.0	0.000357866287231	
1942.65971662	231.0	0.000398874282837	
4831.66500497	579.0	0.000977039337158	
685.667369259	52.0	0.000119924545288	
5689.01106905	592.0	0.000988006591797	
2306.10391462	232.0	0.000414133071899	
8417.78484925	925.0	0.00160598754883	
2095.9923615	223.0	0.000399112701416	
2272.1260816	284.0	0.000630855560303	
10170.0217248	1173.0	0.00192904472351	
7089.55560464	734.0	0.00128102302551	
2026.73547896	241.0	0.000426054000854	
2301.06464003	241.0	0.000463008880615	
5507.89623708	646.0	0.0011191368103	
2029.7209356	196.0	0.000336885452271	
3298.47257528	348.0	0.000611066818237	
2617.47618038	275.0	0.000473022460938	
6599.14812767	700.0	0.00122308731079	
9096.87650207	1177.0	0.00205206871033	
979.543274631	106.0	0.000194072723389	
2710.82242054	294.0	0.000501871109009	
5561.47804909	652.0	0.00113797187805	
8616.66972072	1002.0	0.00165510177612	
9983.54569347	1275.0	0.00209307670593	
6329.52429372	751.0	0.00120711326599	
6067.25129211	691.0	0.00114393234253	
931.376140812	97.0	0.000202894210815	
9878.98141831	1168.0	0.00189208984375	
8290.41030856	835.0	0.00146985054016	
3778.98909814	402.0	0.000699043273926	
2004.55470964	241.0	0.000430822372437	
1092.18269697	131.0	0.000236988067627	
4797.68846497	528.0	0.000879049301147	
5682.75604182	592.0	0.000930070877075	
7649.29697923	876.0	0.00144195556641	
5653.59134788	700.0	0.00112009048462	
9043.08849952	1042.0	0.00164484977722	
4311.80649398	448.0	0.000808954238892	
6213.06621331	763.0	0.00135493278503	
8709.93334403	1053.0	0.00163292884827	
4329.643006	493.0	0.000854015350342	
4439.50315042	527.0	0.000895023345947	
2571.12843411	258.0	0.000482082366943	
4636.1759955	511.0	0.000849962234497	
8652.38299364	961.0	0.00215220451355	
1185.07934122	151.0	0.000262975692749	
4404.42136173	527.0	0.00085186958313	
3005.18447353	348.0	0.00093412399292	
5272.37477744	634.0	0.001060962677	
1047.49363643	133.0	0.000257968902588	
7714.28222146	790.0	0.00140380859375	
5299.05928224	635.0	0.00103807449341	
5505.58668897	610.0	0.00103688240051	
7219.37438589	842.0	0.00136494636536	
1984.48977662	223.0	0.000421047210693	
4256.1486796	482.0	0.000861883163452	
5697.27573116	772.0	0.00135707855225	
1592.31524508	160.0	0.00029993057251	
3958.31447319	421.0	0.000708103179932	
5613.76315603	654.0	0.00118708610535	
8177.64662423	940.0	0.00155091285706	
922.831809691	88.0	0.000174045562744	
6153.08421851	754.0	0.00126314163208	
1929.57164432	241.0	0.000411987304688	
7454.89735895	771.0	0.00126791000366	
6416.91958242	754.0	0.00132489204407	
10546.3183643	1232.0	0.00190305709839	
6839.60853865	736.0	0.00120997428894	
4905.57011466	592.0	0.000998973846436	
6889.52662789	772.0	0.00131487846375	
5128.77923505	556.0	0.000944137573242	
5154.55737591	628.0	0.00102782249451	
5771.73595152	689.0	0.00122690200806	
6459.48359204	691.0	0.00121998786926	
5034.36489119	564.0	0.000923156738281	
5653.97858834	673.0	0.00187706947327	
7272.453648	778.0	0.0012800693512	
5622.79393539	601.0	0.00101709365845	
4206.48592553	439.0	0.000738143920898	
5386.75537488	565.0	0.000977039337158	
5066.53926728	564.0	0.000962018966675	
7387.22072649	871.0	0.00142502784729	
8044.92271254	932.0	0.00156903266907	
3825.98483748	419.0	0.00070595741272	
4362.77071509	483.0	0.000838041305542	
2645.7732459	268.0	0.000460147857666	
7666.30984058	862.0	0.00137805938721	
1580.14442575	151.0	0.000283002853394	
10536.6854963	1243.0	0.00199604034424	
8485.80341825	1036.0	0.00167798995972	
7444.35213791	799.0	0.00129914283752	
7598.01192934	826.0	0.00138306617737	
4901.02173552	583.0	0.00103497505188	
7524.4261912	888.0	0.00153303146362	
4093.37110362	448.0	0.000823974609375	
7599.21409036	841.0	0.00135493278503	
9536.74524815	1038.0	0.00176501274109	
4028.33150172	446.0	0.00075101852417	
11688.9083761	1421.0	0.00233602523804	
8556.84623523	961.0	0.00164699554443	
4827.26273532	569.0	0.000931024551392	
4526.83380974	520.0	0.000901937484741	
1685.62387048	196.0	0.000349998474121	
4917.79307022	529.0	0.000869989395142	
3443.12711538	420.0	0.000717163085938	
4531.39313661	538.0	0.000919103622437	
4336.8753397	484.0	0.000808954238892	
11710.9803317	1436.0	0.00238800048828	
8025.33565267	958.0	0.00166201591492	
4002.29985119	439.0	0.00073504447937	
9781.70414107	1192.0	0.0022599697113	
5083.03164125	555.0	0.000962972640991	
3797.86233147	437.0	0.000731945037842	
6490.77140985	745.0	0.00121688842773	
5568.79689393	723.0	0.00117707252502	
8795.24571231	1018.0	0.00165104866028	
5742.75878905	637.0	0.00108098983765	
2801.37391841	338.0	0.00057315826416	
6424.98245177	758.0	0.00125312805176	
9393.28698959	1123.0	0.00201797485352	
4479.71415054	482.0	0.000817060470581	
7739.37416154	934.0	0.00158214569092	
686.855572465	79.0	0.000151872634888	
2605.91806508	294.0	0.000488996505737	
6668.17858449	822.0	0.00138902664185	
5037.19860535	520.0	0.00088906288147	
10035.212487	1131.0	0.00189518928528	
7963.49969505	816.0	0.0013120174408	
7263.77088271	952.0	0.00162482261658	
5714.41728582	673.0	0.00135207176208	
4409.96308524	492.0	0.000818967819214	
7065.31100587	808.0	0.00140810012817	
9602.63206951	1060.0	0.00174713134766	
5089.6687175	633.0	0.00100111961365	
5862.78288737	655.0	0.00145292282104	
8818.36540624	1123.0	0.00188684463501	
2411.47835226	259.0	0.000448942184448	
2460.55145872	295.0	0.000554084777832	
6368.14923958	707.0	0.00116515159607	
1573.85552784	169.0	0.000303983688354	
5365.15015332	572.0	0.00125098228455	
744.908999974	87.0	0.000172853469849	
838.934570869	96.0	0.000195980072021	
3958.72824531	421.0	0.001051902771	
2852.96024555	303.0	0.000504970550537	
7138.27081009	822.0	0.00136423110962	
8233.79521142	898.0	0.00141191482544	
8647.90738318	1031.0	0.00168204307556	
1488.19361373	169.0	0.000332832336426	
11016.8591412	1382.0	0.00228190422058	
3015.99497111	349.0	0.000655889511108	
5653.4080441	724.0	0.00119280815125	
2968.4323573	313.0	0.000529050827026	
8262.33626865	913.0	0.00148415565491	
5092.86804954	564.0	0.000929117202759	
6855.66257781	699.0	0.00112390518188	
6721.83961983	673.0	0.00116515159607	
4921.99715446	547.0	0.00092887878418	
2986.62029784	356.0	0.000660181045532	
6384.19596862	751.0	0.00128197669983	
4922.88568731	590.0	0.00096607208252	
1997.36818053	241.0	0.000415086746216	
1508.8958224	185.0	0.000334978103638	
6183.86058344	655.0	0.00113487243652	
1741.29263865	214.0	0.000377893447876	
4829.39553171	646.0	0.00107598304749	
3367.89901323	385.0	0.000637054443359	
3163.26988093	357.0	0.000633955001831	
3758.91777109	437.0	0.000720024108887	
9902.33171255	1112.0	0.00190997123718	
3752.22253094	444.0	0.000736951828003	
6007.85879532	646.0	0.00104808807373	
