Cost	Requests	Runtime
245.761383091	16.0	4.41074371338e-05	
497.85427537	37.0	6.60419464111e-05	
452.786929338	30.0	5.60283660889e-05	
513.393767182	39.0	6.50882720947e-05	
646.01202848	10.0	3.38554382324e-05	
340.249804998	24.0	4.41074371338e-05	
542.344487151	48.0	7.70092010498e-05	
597.737370121	41.0	6.8187713623e-05	
458.551801878	32.0	5.79357147217e-05	
688.586682758	62.0	9.51290130615e-05	
508.966074643	45.0	7.5101852417e-05	
338.619848796	24.0	5.41210174561e-05	
274.149767915	26.0	4.60147857666e-05	
558.847732995	32.0	5.81741333008e-05	
293.560944885	21.0	4.38690185547e-05	
516.421969747	17.0	4.2200088501e-05	
140.405895435	14.0	3.2901763916e-05	
249.950379989	23.0	3.981590271e-05	
372.733379331	18.0	3.88622283936e-05	
289.132131397	25.0	4.6968460083e-05	
289.04012738	17.0	4.10079956055e-05	
596.870950602	50.0	7.89165496826e-05	
432.347475433	25.0	4.79221343994e-05	
365.859440301	32.0	5.29289245605e-05	
524.730062741	34.0	6.103515625e-05	
248.830161371	16.0	3.40938568115e-05	
272.943380318	13.0	3.2901763916e-05	
601.163267568	39.0	6.38961791992e-05	
109.664916275	8.0	2.19345092773e-05	
393.567825052	28.0	5.3882598877e-05	
486.884511544	47.0	7.60555267334e-05	
402.230547558	32.0	5.69820404053e-05	
343.250765884	14.0	3.40938568115e-05	
388.811432149	20.0	4.10079956055e-05	
344.42116483	17.0	4.10079956055e-05	
296.376901392	10.0	3.19480895996e-05	
348.14819077	16.0	4.00543212891e-05	
211.295608251	11.0	2.90870666504e-05	
453.536342274	24.0	5.19752502441e-05	
397.831618773	33.0	5.50746917725e-05	
359.692547836	26.0	5.31673431396e-05	
357.309869039	25.0	4.81605529785e-05	
410.505880194	24.0	5.00679016113e-05	
453.355839397	32.0	5.60283660889e-05	
231.352078294	8.0	3.40938568115e-05	
845.21407103	51.0	9.79900360107e-05	
415.95083559	34.0	6.60419464111e-05	
377.549317553	17.0	4.29153442383e-05	
157.509886453	14.0	3.00407409668e-05	
552.46361029	39.0	6.79492950439e-05	
802.075100973	62.0	0.000149011611938	
296.963442401	25.0	7.39097595215e-05	
385.038692995	32.0	0.000118970870972	
220.041655825	23.0	4.50611114502e-05	
618.084154038	50.0	9.20295715332e-05	
466.202454423	25.0	5.81741333008e-05	
429.397312258	32.0	5.69820404053e-05	
399.972730048	30.0	6.60419464111e-05	
446.105855326	23.0	4.50611114502e-05	
291.458653356	23.0	6.89029693604e-05	
481.306222391	30.0	5.69820404053e-05	
238.959811972	24.0	4.29153442383e-05	
434.905760614	24.0	5.3882598877e-05	
425.151383502	19.0	4.19616699219e-05	
520.041181118	41.0	6.69956207275e-05	
482.51570125	34.0	5.88893890381e-05	
193.025210471	6.0	2.28881835938e-05	
59.1171858591	6.0	2.09808349609e-05	
752.172266172	41.0	6.98566436768e-05	
206.402154613	8.0	2.31266021729e-05	
228.084668703	12.0	3.09944152832e-05	
83.3553390593	6.0	2.19345092773e-05	
563.949688534	61.0	9.51290130615e-05	
528.944527182	50.0	7.70092010498e-05	
331.597866935	32.0	5.50746917725e-05	
547.148943543	41.0	6.8187713623e-05	
620.410620004	42.0	7.60555267334e-05	
80.1152823844	5.0	1.81198120117e-05	
34.7850542619	7.0	1.78813934326e-05	
171.328927548	8.0	2.50339508057e-05	
369.289207721	34.0	9.20295715332e-05	
541.583204438	48.0	8.79764556885e-05	
423.066204032	39.0	6.60419464111e-05	
579.332669638	48.0	8.20159912109e-05	
171.548606072	11.0	3.19480895996e-05	
245.363347601	16.0	3.79085540771e-05	
327.248072059	19.0	4.60147857666e-05	
443.373885201	40.0	7.70092010498e-05	
246.659003456	21.0	4.60147857666e-05	
765.393336676	48.0	7.9870223999e-05	
333.997252994	12.0	3.50475311279e-05	
452.419951001	24.0	6.29425048828e-05	
120.448700534	6.0	1.90734863281e-05	
477.287063554	48.0	8.01086425781e-05	
540.892909106	32.0	5.98430633545e-05	
537.563265992	50.0	0.000108003616333	
380.23749043	32.0	5.79357147217e-05	
170.546788199	6.0	2.50339508057e-05	
206.96953191	12.0	4.31537628174e-05	
416.978040903	32.0	6.00814819336e-05	
269.425736365	17.0	4.48226928711e-05	
252.112421104	31.0	5.50746917725e-05	
595.996988177	32.0	6.103515625e-05	
355.322573066	26.0	5.3882598877e-05	
760.468377994	41.0	6.91413879395e-05	
258.185938047	19.0	5.29289245605e-05	
286.604951194	25.0	4.29153442383e-05	
238.750798511	16.0	4.60147857666e-05	
252.824084718	25.0	5.10215759277e-05	
315.727603976	23.0	4.50611114502e-05	
476.15751603	17.0	4.29153442383e-05	
204.674849452	10.0	3.09944152832e-05	
308.574504089	23.0	4.91142272949e-05	
159.137815991	6.0	2.28881835938e-05	
663.811396286	32.0	8.60691070557e-05	
554.153480635	35.0	7.00950622559e-05	
481.609294755	32.0	6.00814819336e-05	
159.480071399	12.0	3.00407409668e-05	
243.108809744	23.0	4.41074371338e-05	
289.906707445	16.0	3.79085540771e-05	
472.408504887	12.0	3.48091125488e-05	
481.952013096	17.0	4.38690185547e-05	
18.3847763109	8.0	1.8835067749e-05	
291.942888086	10.0	3.38554382324e-05	
214.847894733	14.0	3.60012054443e-05	
59.0	7.0	1.71661376953e-05	
245.057533144	16.0	3.69548797607e-05	
567.232072774	48.0	7.89165496826e-05	
209.126046256	16.0	3.38554382324e-05	
529.912506676	41.0	6.79492950439e-05	
511.699267484	24.0	5.29289245605e-05	
270.87881785	16.0	3.60012054443e-05	
146.122137531	4.0	1.90734863281e-05	
184.031816481	4.0	2.00271606445e-05	
580.091108126	41.0	7.00950622559e-05	
426.055242749	39.0	6.8187713623e-05	
393.038692995	32.0	5.69820404053e-05	
303.394973378	12.0	3.19480895996e-05	
319.381033022	23.0	5.69820404053e-05	
407.577201968	32.0	5.50746917725e-05	
162.815850872	6.0	2.21729278564e-05	
488.529055093	32.0	5.50746917725e-05	
131.462219947	6.0	2.09808349609e-05	
120.609894746	4.0	2.09808349609e-05	
65.2763356815	5.0	4.91142272949e-05	
157.857543967	4.0	1.8835067749e-05	
222.974435283	10.0	3.19480895996e-05	
497.896098279	41.0	7.08103179932e-05	
253.916212146	25.0	4.6968460083e-05	
178.254617386	12.0	3.19480895996e-05	
457.270948826	28.0	5.29289245605e-05	
312.122441764	16.0	3.69548797607e-05	
423.172922251	30.0	5.3882598877e-05	
436.597727388	32.0	6.5803527832e-05	
116.388539215	12.0	3.21865081787e-05	
648.430859421	32.0	5.79357147217e-05	
241.035227677	21.0	4.38690185547e-05	
527.743283158	42.0	7.60555267334e-05	
152.509303947	9.0	2.8133392334e-05	
171.323602313	20.0	4.00543212891e-05	
185.467078381	16.0	4.60147857666e-05	
477.046790102	41.0	6.89029693604e-05	
512.34111266	32.0	6.29425048828e-05	
307.842815169	23.0	7.29560852051e-05	
289.114460961	10.0	3.19480895996e-05	
492.159175043	37.0	6.69956207275e-05	
374.380951141	32.0	5.69820404053e-05	
355.20342257	26.0	5.19752502441e-05	
575.956069966	24.0	5.19752502441e-05	
162.713933612	14.0	3.31401824951e-05	
379.463734235	34.0	5.69820404053e-05	
310.722612782	23.0	4.2200088501e-05	
363.894341033	32.0	5.29289245605e-05	
532.605158396	37.0	6.50882720947e-05	
281.374924886	17.0	3.69548797607e-05	
69.0	7.0	1.90734863281e-05	
236.622857608	13.0	3.60012054443e-05	
245.319524744	12.0	3.19480895996e-05	
331.984147397	25.0	5.19752502441e-05	
304.847784838	14.0	3.38554382324e-05	
453.333963996	41.0	6.60419464111e-05	
282.736460888	12.0	3.00407409668e-05	
546.485439338	46.0	7.70092010498e-05	
452.893851252	32.0	5.69820404053e-05	
197.734116607	14.0	3.2901763916e-05	
290.885591948	32.0	5.69820404053e-05	
234.247240851	10.0	2.78949737549e-05	
664.410195212	53.0	8.9168548584e-05	
271.84998858	24.0	4.79221343994e-05	
436.237139553	34.0	5.91278076172e-05	
357.176766266	23.0	4.50611114502e-05	
576.965662729	41.0	7.00950622559e-05	
718.809040659	48.0	7.91549682617e-05	
340.40061383	25.0	4.6968460083e-05	
453.632195104	41.0	6.98566436768e-05	
165.60751326	8.0	2.28881835938e-05	
48.9262236245	10.0	2.59876251221e-05	
415.972515323	32.0	5.69820404053e-05	
252.774258533	21.0	5.69820404053e-05	
350.998674482	23.0	5.50746917725e-05	
635.35104062	41.0	6.98566436768e-05	
266.178797987	31.0	5.10215759277e-05	
413.087880205	30.0	5.81741333008e-05	
399.560405121	39.0	7.20024108887e-05	
155.720287152	14.0	3.19480895996e-05	
594.138030507	56.0	8.51154327393e-05	
187.665735561	16.0	3.19480895996e-05	
131.449282712	8.0	2.31266021729e-05	
278.296487106	16.0	3.60012054443e-05	
212.362206812	11.0	3.09944152832e-05	
695.47446538	41.0	6.79492950439e-05	
351.226218721	32.0	5.57899475098e-05	
608.563771407	42.0	7.60555267334e-05	
67.761719157	4.0	2.00271606445e-05	
334.477779947	17.0	4.00543212891e-05	
181.80540686	14.0	3.09944152832e-05	
495.090249249	32.0	5.91278076172e-05	
100.415669051	12.0	2.78949737549e-05	
239.258343745	6.0	2.19345092773e-05	
436.421573708	39.0	6.07967376709e-05	
198.531075409	14.0	3.38554382324e-05	
632.64354748	41.0	7.79628753662e-05	
246.271656371	24.0	4.31537628174e-05	
636.959910503	25.0	4.79221343994e-05	
535.4621667	32.0	5.79357147217e-05	
323.781594505	25.0	4.6968460083e-05	
154.508574953	15.0	3.09944152832e-05	
562.129564816	48.0	7.70092010498e-05	
439.758892231	39.0	7.29560852051e-05	
262.714110998	25.0	4.6968460083e-05	
612.937877492	28.0	5.79357147217e-05	
531.087202005	32.0	5.88893890381e-05	
115.19748543	6.0	2.19345092773e-05	
601.161885798	39.0	6.98566436768e-05	
652.049501526	23.0	4.79221343994e-05	
280.115926105	14.0	3.40938568115e-05	
439.827015567	6.0	2.31266021729e-05	
431.380828165	25.0	4.6968460083e-05	
224.074542294	32.0	5.19752502441e-05	
357.392378278	23.0	4.60147857666e-05	
260.242692559	10.0	3.09944152832e-05	
85.167689508	8.0	2.21729278564e-05	
253.373020801	12.0	3.09944152832e-05	
354.595530813	23.0	4.48226928711e-05	
423.602160943	26.0	5.60283660889e-05	
219.172896129	16.0	3.60012054443e-05	
487.940405437	24.0	5.3882598877e-05	
575.896096934	30.0	5.60283660889e-05	
214.995695037	22.0	4.19616699219e-05	
531.937785643	48.0	0.000123023986816	
206.956573322	10.0	3.09944152832e-05	
228.747443595	23.0	4.29153442383e-05	
827.148906825	57.0	9.10758972168e-05	
201.140952379	4.0	2.09808349609e-05	
797.443576781	51.0	8.58306884766e-05	
62.0818376562	11.0	2.62260437012e-05	
382.113687642	25.0	4.79221343994e-05	
443.685650863	39.0	6.50882720947e-05	
581.945969202	10.0	3.38554382324e-05	
346.186226804	23.0	4.60147857666e-05	
176.576294008	14.0	3.19480895996e-05	
477.959275129	17.0	4.10079956055e-05	
341.608422703	32.0	5.69820404053e-05	
492.263757242	24.0	5.19752502441e-05	
416.179445356	25.0	4.41074371338e-05	
272.316100755	40.0	6.29425048828e-05	
663.883866648	32.0	5.79357147217e-05	
200.560319735	8.0	2.28881835938e-05	
305.35040983	32.0	5.29289245605e-05	
190.631546741	12.0	3.2901763916e-05	
621.549889943	41.0	0.000109195709229	
25.8069758011	8.0	2.59876251221e-05	
466.202454423	31.0	0.000118970870972	
157.459143157	8.0	2.71797180176e-05	
102.771623152	8.0	2.31266021729e-05	
226.842651462	16.0	3.48091125488e-05	
331.272320749	17.0	4.48226928711e-05	
430.756802733	32.0	5.69820404053e-05	
279.414192067	25.0	4.6968460083e-05	
159.916797654	16.0	3.40938568115e-05	
429.57010381	32.0	5.88893890381e-05	
616.009072747	48.0	7.89165496826e-05	
195.56613514	13.0	2.90870666504e-05	
264.446223652	12.0	3.31401824951e-05	
470.235967876	39.0	6.79492950439e-05	
660.139983964	29.0	5.98430633545e-05	
281.374924886	17.0	3.79085540771e-05	
137.669645312	8.0	2.28881835938e-05	
250.643477684	23.0	4.50611114502e-05	
451.451902124	21.0	4.48226928711e-05	
320.744709677	6.0	2.09808349609e-05	
532.257306925	24.0	5.22136688232e-05	
241.028114062	10.0	3.31401824951e-05	
482.1318226	39.0	6.41345977783e-05	
234.913073477	23.0	7.20024108887e-05	
457.706252059	46.0	8.39233398438e-05	
721.636460897	57.0	9.10758972168e-05	
161.04021194	6.0	2.21729278564e-05	
638.513394256	25.0	4.91142272949e-05	
331.062806758	32.0	8.98838043213e-05	
273.276005952	16.0	7.10487365723e-05	
143.242289512	12.0	7.9870223999e-05	
347.84664551	24.0	6.19888305664e-05	
261.528156894	23.0	5.00679016113e-05	
353.37788902	22.0	4.50611114502e-05	
269.15435872	38.0	6.79492950439e-05	
217.319978429	16.0	3.60012054443e-05	
281.2280167	8.0	2.59876251221e-05	
453.164564446	35.0	6.79492950439e-05	
41.6773319683	5.0	1.78813934326e-05	
480.896624304	32.0	6.31809234619e-05	
110.059187479	8.0	2.38418579102e-05	
546.341660222	39.0	7.10487365723e-05	
230.713566024	8.0	2.40802764893e-05	
142.667986351	16.0	3.09944152832e-05	
623.647654895	42.0	7.82012939453e-05	
224.79123288	16.0	3.60012054443e-05	
492.890587301	42.0	7.20024108887e-05	
466.802232767	41.0	6.79492950439e-05	
136.34524795	8.0	2.28881835938e-05	
310.824340233	32.0	5.69820404053e-05	
379.989030383	43.0	6.79492950439e-05	
513.499851366	50.0	7.70092010498e-05	
356.162000651	14.0	3.40938568115e-05	
204.167255631	14.0	3.19480895996e-05	
121.115282384	6.0	2.21729278564e-05	
381.032486914	29.0	5.48362731934e-05	
453.796907515	28.0	5.57899475098e-05	
507.662948419	32.0	5.69820404053e-05	
214.857709646	8.0	2.40802764893e-05	
359.610617929	14.0	3.40938568115e-05	
217.135844808	12.0	3.19480895996e-05	
290.16229429	32.0	5.50746917725e-05	
329.100363762	21.0	4.48226928711e-05	
691.562192539	29.0	6.00814819336e-05	
434.905760614	24.0	5.19752502441e-05	
488.822115969	42.0	7.48634338379e-05	
187.688187658	12.0	3.00407409668e-05	
116.726175299	6.0	1.71661376953e-05	
315.323175813	23.0	4.10079956055e-05	
237.897757761	19.0	4.19616699219e-05	
360.751386492	39.0	6.103515625e-05	
201.928549979	12.0	3.09944152832e-05	
