Cost	Requests	Runtime
214.061953916	25.0	6.07967376709e-05	
170.175505108	14.0	3.2901763916e-05	
522.906330265	42.0	7.82012939453e-05	
73.9673797382	24.0	4.10079956055e-05	
442.20606671	43.0	7.10487365723e-05	
167.781150829	12.0	3.40938568115e-05	
53.0754180389	8.0	1.8835067749e-05	
37.0	6.0	1.78813934326e-05	
323.053786598	47.0	8.89301300049e-05	
338.863110878	32.0	5.91278076172e-05	
198.403775173	16.0	3.60012054443e-05	
326.227436013	31.0	5.31673431396e-05	
285.232287634	25.0	4.60147857666e-05	
184.545219762	14.0	3.40938568115e-05	
198.186656727	34.0	5.3882598877e-05	
258.069543485	17.0	4.29153442383e-05	
145.013793103	8.0	3.2901763916e-05	
501.984595837	47.0	7.5101852417e-05	
272.16903475	25.0	4.72068786621e-05	
283.971099266	25.0	4.98294830322e-05	
297.635336705	30.0	5.91278076172e-05	
166.293151723	25.0	4.60147857666e-05	
401.550928447	49.0	7.82012939453e-05	
293.31219164	23.0	5.50746917725e-05	
137.161226855	10.0	4.91142272949e-05	
97.9489663039	5.0	2.50339508057e-05	
36.7151195014	5.0	1.81198120117e-05	
119.284113195	10.0	3.48091125488e-05	
400.462780474	43.0	7.48634338379e-05	
383.828060732	24.0	6.29425048828e-05	
302.61530076	32.0	5.91278076172e-05	
159.019800039	6.0	2.28881835938e-05	
246.555355778	14.0	5.79357147217e-05	
305.692315531	17.0	3.91006469727e-05	
139.677693888	14.0	3.48091125488e-05	
232.563014827	25.0	4.72068786621e-05	
121.216642516	6.0	2.19345092773e-05	
123.674956075	6.0	2.31266021729e-05	
230.628697971	25.0	7.29560852051e-05	
131.867328178	8.0	2.40802764893e-05	
275.399250351	17.0	4.6968460083e-05	
191.007864206	13.0	3.71932983398e-05	
208.065651026	17.0	4.60147857666e-05	
121.191966776	6.0	2.59876251221e-05	
343.078553249	42.0	7.70092010498e-05	
240.394577501	22.0	4.6968460083e-05	
250.278652063	19.0	4.2200088501e-05	
379.911368996	23.0	4.60147857666e-05	
270.496019549	24.0	4.72068786621e-05	
94.8769250209	8.0	2.40802764893e-05	
136.097858228	15.0	3.09944152832e-05	
62.6550314912	6.0	2.09808349609e-05	
270.194739792	32.0	5.41210174561e-05	
385.374722837	50.0	9.98973846436e-05	
259.079077543	21.0	4.31537628174e-05	
