Cost	Requests	Runtime
166.570556032	49.0	0.000494003295898	
170.175505108	36.0	0.000659942626953	
474.641006342	85.0	0.000818014144897	
73.9673797382	64.0	0.000598907470703	
356.253357892	82.0	0.000694036483765	
126.585713301	18.0	0.000214099884033	
53.0754180389	12.0	0.000180959701538	
37.0	11.0	0.000137090682983	
361.194105553	80.0	0.000740051269531	
338.863110878	81.0	0.000824928283691	
198.403775173	59.0	0.000576019287109	
338.178741439	80.0	0.000669956207275	
285.232287634	71.0	0.000629186630249	
184.497922852	35.0	0.000314950942993	
201.085130349	75.0	0.000635147094727	
258.069543485	41.0	0.000400066375732	
145.013793103	39.0	0.000492095947266	
470.364273121	85.0	0.000679016113281	
267.147767738	83.0	0.000818967819214	
261.579215157	65.0	0.000594854354858	
313.14566064	66.0	0.000575065612793	
130.441783138	55.0	0.000515937805176	
399.530439943	81.0	0.00112390518188	
190.984880276	36.0	0.000530958175659	
137.161226855	22.0	0.000433921813965	
97.9489663039	12.0	0.000147819519043	
36.7151195014	7.0	0.000118017196655	
119.284113195	18.0	0.000189065933228	
295.871978236	81.0	0.000797033309937	
373.707634744	78.0	0.000671863555908	
259.336407245	64.0	0.000524044036865	
159.019800039	15.0	0.000205039978027	
232.893675066	42.0	0.000452041625977	
261.601447585	59.0	0.000513076782227	
139.677693888	42.0	0.000375986099243	
205.159177701	75.0	0.000920057296753	
121.216642516	22.0	0.000252962112427	
123.674956075	6.0	0.000102043151855	
230.628697971	66.0	0.000710964202881	
131.867328178	7.0	0.000103950500488	
251.03413877	51.0	0.000519990921021	
191.007864206	56.0	0.000622987747192	
208.065651026	49.0	0.000469207763672	
121.191966776	6.0	8.89301300049e-05	
282.729225802	71.0	0.000633955001831	
150.281607651	55.0	0.000507116317749	
250.278652063	67.0	0.000577926635742	
316.443211549	63.0	0.000541210174561	
204.482528551	64.0	0.000561952590942	
94.8769250209	22.0	0.000227928161621	
136.097858228	39.0	0.000355005264282	
62.6550314912	6.0	8.60691070557e-05	
270.194739792	74.0	0.000623941421509	
275.920424538	70.0	0.000709772109985	
213.251020307	54.0	0.000497102737427	
212.560567674	63.0	0.000653982162476	
377.675192678	86.0	0.000729084014893	
146.077412003	26.0	0.000308036804199	
152.805981025	33.0	0.000353097915649	
204.517755154	25.0	0.00026798248291	
190.711485396	7.0	9.48905944824e-05	
396.317865303	84.0	0.000794172286987	
339.249136703	80.0	0.000711917877197	
174.90569848	57.0	0.000500917434692	
353.065182146	77.0	0.000639915466309	
184.247355984	52.0	0.000471115112305	
205.291904263	9.0	0.000108003616333	
321.220271865	73.0	0.000635862350464	
175.581491438	6.0	8.79764556885e-05	
91.5876670805	22.0	0.000202894210815	
341.329785219	83.0	0.000682830810547	
240.865541564	61.0	0.000566959381104	
116.563829876	19.0	0.000180006027222	
220.471875473	37.0	0.000553846359253	
142.624190427	45.0	0.000438928604126	
255.669449553	71.0	0.000641107559204	
206.932148601	59.0	0.000535011291504	
135.471188467	24.0	0.000239133834839	
265.366499711	69.0	0.000625848770142	
123.571908427	35.0	0.000377893447876	
394.607490226	81.0	0.000845193862915	
303.290953791	68.0	0.000647783279419	
156.994639522	34.0	0.000502109527588	
127.462219947	15.0	0.000237941741943	
217.819113216	83.0	0.00123810768127	
109.310441363	56.0	0.000905990600586	
282.136081888	57.0	0.000569105148315	
152.96215289	6.0	0.000108957290649	
252.047587932	59.0	0.000531196594238	
311.125524938	60.0	0.000657081604004	
462.950836893	82.0	0.000706911087036	
364.324361583	75.0	0.000646829605103	
146.752709799	57.0	0.000581026077271	
150.90639111	36.0	0.000344038009644	
233.959181654	68.0	0.00065803527832	
276.531307924	58.0	0.000545978546143	
406.083475038	83.0	0.000759124755859	
129.139577979	18.0	0.000190019607544	
211.924107331	76.0	0.000619888305664	
282.47086663	81.0	0.000694036483765	
109.744862773	9.0	0.000106811523438	
339.170873459	84.0	0.000657081604004	
244.542899463	70.0	0.00059986114502	
317.26308423	66.0	0.000600099563599	
280.734324355	75.0	0.000772953033447	
299.435873512	75.0	0.000653982162476	
346.911279583	81.0	0.000961780548096	
269.585164766	77.0	0.000820159912109	
412.281446864	87.0	0.000744104385376	
95.9444101085	15.0	0.000166893005371	
207.705640423	55.0	0.000501871109009	
191.056555228	30.0	0.000316858291626	
60.8625453467	16.0	0.000212907791138	
141.863733639	25.0	0.000302076339722	
252.2595695	83.0	0.000702857971191	
331.703698931	66.0	0.000595092773438	
348.50681522	76.0	0.000614881515503	
227.669449553	71.0	0.000585079193115	
114.422065321	31.0	0.000304937362671	
275.474602785	38.0	0.000319004058838	
382.377771618	75.0	0.00075888633728	
446.240133685	83.0	0.00085711479187	
205.414462349	51.0	0.000450849533081	
372.222963935	84.0	0.00078010559082	
320.926490179	81.0	0.000771045684814	
425.681887151	81.0	0.000642776489258	
356.682560671	84.0	0.000747919082642	
245.070849272	76.0	0.0010039806366	
366.705812332	83.0	0.000910043716431	
396.562228836	77.0	0.000659942626953	
252.90540348	68.0	0.000602006912231	
276.329826234	68.0	0.000617027282715	
104.057096286	27.0	0.000282049179077	
256.791903938	78.0	0.000699043273926	
204.875645341	51.0	0.000437021255493	
149.846550127	46.0	0.000406980514526	
119.943113825	30.0	0.000283002853394	
45.8802789878	6.0	7.89165496826e-05	
299.625754193	85.0	0.000694990158081	
211.587437188	52.0	0.00049901008606	
140.453672122	26.0	0.000243186950684	
410.769311549	82.0	0.000793933868408	
319.171657362	80.0	0.000704050064087	
394.850976675	81.0	0.000731945037842	
359.225919431	66.0	0.000633955001831	
314.520942669	81.0	0.000738143920898	
404.787995548	85.0	0.000697135925293	
394.359413652	82.0	0.000675916671753	
104.618320933	13.0	0.000143051147461	
124.031042171	9.0	0.000104188919067	
208.683077242	47.0	0.000460863113403	
163.601707844	32.0	0.000303030014038	
249.826745701	56.0	0.000494003295898	
250.538906042	71.0	0.00059986114502	
268.104982482	86.0	0.000672817230225	
114.865138314	9.0	0.000123977661133	
382.755287842	84.0	0.000707149505615	
179.442327715	5.0	7.70092010498e-05	
124.861635074	30.0	0.000331878662109	
12.0830459736	12.0	0.000140905380249	
384.278189575	82.0	0.000735998153687	
184.246052952	49.0	0.00046706199646	
243.63336062	65.0	0.000602960586548	
175.060006081	47.0	0.00045108795166	
316.458225845	81.0	0.00075101852417	
123.194235618	30.0	0.000302076339722	
353.154963673	80.0	0.000682830810547	
172.226629732	39.0	0.000339984893799	
59.0592922409	20.0	0.000190019607544	
311.348094068	79.0	0.000694990158081	
432.037665215	84.0	0.000669956207275	
105.741305272	31.0	0.000280857086182	
249.734812329	70.0	0.000584125518799	
222.56003867	42.0	0.000358819961548	
214.003521872	70.0	0.000608921051025	
139.586947141	5.0	0.000105142593384	
249.210134309	80.0	0.000654935836792	
361.094715375	65.0	0.000573873519897	
360.831381414	82.0	0.000728845596313	
426.350602135	85.0	0.000715017318726	
341.264959404	69.0	0.000639915466309	
165.296168509	29.0	0.000314950942993	
522.971226067	86.0	0.000698089599609	
244.4232115	65.0	0.00059700012207	
338.253169481	82.0	0.000675916671753	
284.892337803	69.0	0.00066089630127	
95.7766865163	36.0	0.000329971313477	
224.118560715	63.0	0.000575065612793	
145.435501538	23.0	0.000225782394409	
318.756319036	78.0	0.000638008117676	
217.290493683	59.0	0.000510931015015	
424.876358944	77.0	0.000744104385376	
548.557610002	87.0	0.000782012939453	
103.648431638	44.0	0.000440120697021	
126.757476591	28.0	0.000257968902588	
73.0	21.0	0.000241041183472	
438.965273897	79.0	0.000953197479248	
341.36214731	78.0	0.000674962997437	
244.950520439	58.0	0.000550985336304	
166.641397976	55.0	0.000515937805176	
182.111171117	58.0	0.000514984130859	
73.1072590599	18.0	0.000196933746338	
390.770936274	80.0	0.000674962997437	
270.7147727	72.0	0.000704050064087	
23.0867927612	3.0	8.01086425781e-05	
266.2030983	61.0	0.00056791305542	
340.236156685	78.0	0.000645160675049	
372.888223154	81.0	0.00066614151001	
236.422090961	57.0	0.000501871109009	
214.056582953	75.0	0.00071382522583	
346.724555422	85.0	0.000738859176636	
384.175400942	82.0	0.000862121582031	
137.257345931	48.0	0.00047779083252	
74.6868537189	9.0	0.000121116638184	
370.358749686	84.0	0.000760078430176	
97.4800713995	26.0	0.000253915786743	
335.880629365	66.0	0.000568151473999	
79.2275204711	23.0	0.000272989273071	
204.898512188	56.0	0.000497102737427	
313.283263316	69.0	0.000571012496948	
209.191725738	75.0	0.000617027282715	
38.2099463491	6.0	7.89165496826e-05	
378.369031872	65.0	0.000542879104614	
282.760385444	69.0	0.000570058822632	
99.7587202229	21.0	0.000213861465454	
73.5602196109	23.0	0.000230073928833	
317.814839195	77.0	0.000688076019287	
293.152063315	59.0	0.000639200210571	
185.81064021	54.0	0.000493049621582	
192.419914062	54.0	0.000540018081665	
20.6155281281	4.0	0.000115871429443	
339.747579624	74.0	0.000712156295776	
199.0074958	26.0	0.00025200843811	
391.392644092	77.0	0.0010130405426	
271.855801866	66.0	0.000568866729736	
370.092889992	85.0	0.000771045684814	
298.98489639	83.0	0.000680923461914	
235.785002619	45.0	0.000403881072998	
336.585398773	74.0	0.000613927841187	
153.557258848	49.0	0.000473022460938	
204.991584899	65.0	0.000580072402954	
378.184832044	81.0	0.000947952270508	
125.497922852	33.0	0.000370979309082	
281.296138099	83.0	0.00110483169556	
346.751907974	75.0	0.000739097595215	
265.788340624	59.0	0.000651121139526	
302.991505125	76.0	0.000708103179932	
45.2769256907	18.0	0.000193119049072	
115.606122573	35.0	0.000342845916748	
155.121101019	33.0	0.000368118286133	
226.628697971	66.0	0.000598192214966	
182.598321277	38.0	0.000428915023804	
312.477653947	81.0	0.000702857971191	
214.362017126	47.0	0.000401973724365	
139.27652938	34.0	0.000304222106934	
316.538846644	78.0	0.000710010528564	
439.893303477	82.0	0.000678777694702	
11.313708499	7.0	0.000108957290649	
184.796440653	5.0	9.20295715332e-05	
159.414462349	45.0	0.000439882278442	
144.586949787	44.0	0.000416040420532	
225.604310062	78.0	0.000697135925293	
53.7587202229	12.0	0.0001540184021	
187.180388	7.0	0.000137090682983	
179.65728832	40.0	0.000358104705811	
172.539860588	24.0	0.000256776809692	
348.316244539	84.0	0.000761985778809	
118.358737165	34.0	0.000338077545166	
168.780185819	29.0	0.000319957733154	
259.875215447	70.0	0.000659942626953	
248.956283202	72.0	0.000643968582153	
188.497922852	38.0	0.000370979309082	
92.8493403315	13.0	0.000161170959473	
386.690667762	84.0	0.000677108764648	
355.402405166	76.0	0.000643014907837	
399.644739311	76.0	0.000615119934082	
446.889150998	88.0	0.000696182250977	
292.037271982	73.0	0.000630140304565	
261.976400491	29.0	0.000284910202026	
142.392057381	28.0	0.000248908996582	
73.636239417	5.0	7.10487365723e-05	
438.699764851	82.0	0.000700950622559	
361.031288913	79.0	0.000655174255371	
186.765266352	62.0	0.000515222549438	
99.9444272871	26.0	0.000381946563721	
288.221793264	82.0	0.00108098983765	
190.429572368	29.0	0.000518083572388	
138.931034039	25.0	0.000308990478516	
81.1541742611	13.0	0.000160932540894	
238.766328418	73.0	0.000678777694702	
313.291721021	79.0	0.000673770904541	
104.620597602	36.0	0.000325918197632	
453.555824979	81.0	0.000669002532959	
140.726819976	26.0	0.000247001647949	
198.007864206	59.0	0.000542879104614	
412.437578959	83.0	0.000723838806152	
334.314277293	75.0	0.000594854354858	
104.995237987	7.0	9.79900360107e-05	
174.768097263	64.0	0.000664949417114	
66.3701740242	11.0	0.000130176544189	
374.320619913	81.0	0.000634908676147	
127.283953327	47.0	0.000449895858765	
220.235718561	33.0	0.000298976898193	
346.336967756	82.0	0.000702857971191	
259.396850338	75.0	0.000726938247681	
284.892337803	69.0	0.000580072402954	
146.775779819	6.0	8.39233398438e-05	
327.930494859	78.0	0.000627994537354	
215.6304015	7.0	9.51290130615e-05	
281.484919216	58.0	0.000548124313354	
128.670839866	6.0	8.29696655273e-05	
228.155651902	67.0	0.000566005706787	
234.157733917	43.0	0.000396966934204	
224.864595821	36.0	0.000316858291626	
119.231495723	35.0	0.000405073165894	
244.862604219	58.0	0.000486135482788	
189.336260865	40.0	0.000325918197632	
215.361303796	38.0	0.000349044799805	
263.55608471	73.0	0.000633955001831	
331.652094958	83.0	0.000672101974487	
240.169399611	58.0	0.000465869903564	
105.742291608	27.0	0.000253915786743	
77.9122379377	9.0	0.000104188919067	
232.159394664	33.0	0.000284910202026	
287.336260865	64.0	0.00052809715271	
236.555340808	71.0	0.000555038452148	
285.902324135	58.0	0.000477075576782	
210.623790754	29.0	0.000277996063232	
278.340348009	82.0	0.000653028488159	
256.154593794	71.0	0.000581979751587	
376.115477632	83.0	0.000646114349365	
344.834117399	80.0	0.000645875930786	
131.755121439	43.0	0.000385999679565	
410.845617281	84.0	0.000661134719849	
171.266796183	44.0	0.000375032424927	
423.333666598	86.0	0.000661134719849	
121.035759065	22.0	0.000212907791138	
324.760086423	77.0	0.000638961791992	
267.513813209	51.0	0.000453948974609	
155.646453251	30.0	0.000280141830444	
