Cost	Requests	Runtime
375.832165835	41.0	7.48634338379e-05	
401.379838876	24.0	5.19752502441e-05	
317.492197542	25.0	4.6968460083e-05	
143.388352081	8.0	2.40802764893e-05	
432.055145861	37.0	9.51290130615e-05	
93.0496280138	6.0	2.19345092773e-05	
369.546252449	34.0	5.91278076172e-05	
193.52435429	16.0	3.60012054443e-05	
117.82581374	6.0	2.28881835938e-05	
463.427706625	39.0	6.91413879395e-05	
141.335875503	6.0	2.19345092773e-05	
336.922929979	26.0	5.31673431396e-05	
322.435852606	39.0	6.79492950439e-05	
331.190177699	41.0	7.70092010498e-05	
348.522614216	23.0	5.69820404053e-05	
271.948049416	16.0	3.69548797607e-05	
337.330286821	19.0	4.6968460083e-05	
250.637771097	16.0	4.10079956055e-05	
163.834379295	8.0	2.38418579102e-05	
75.524048521	4.0	2.09808349609e-05	
244.399956263	21.0	4.60147857666e-05	
103.773792453	6.0	1.69277191162e-05	
228.143691622	23.0	4.41074371338e-05	
339.125278485	30.0	0.000109195709229	
378.455892406	17.0	4.50611114502e-05	
274.593588693	14.0	3.40938568115e-05	
125.466796474	6.0	2.78949737549e-05	
254.519043291	14.0	3.60012054443e-05	
415.454870274	50.0	8.39233398438e-05	
428.797148894	37.0	6.69956207275e-05	
295.065618365	19.0	5.29289245605e-05	
218.275094554	15.0	3.60012054443e-05	
173.781039533	14.0	3.19480895996e-05	
150.868359469	15.0	4.98294830322e-05	
261.95584778	32.0	6.69956207275e-05	
142.957896848	6.0	2.19345092773e-05	
591.380015292	57.0	8.89301300049e-05	
257.129685564	25.0	4.79221343994e-05	
140.742594405	11.0	2.90870666504e-05	
466.442031063	32.0	5.48362731934e-05	
102.360872141	12.0	2.88486480713e-05	
457.727342902	49.0	8.60691070557e-05	
327.45447344	30.0	7.00950622559e-05	
483.430371716	41.0	6.91413879395e-05	
113.302925597	8.0	2.31266021729e-05	
435.768290578	48.0	7.9870223999e-05	
171.00976172	14.0	3.2901763916e-05	
70.5740755768	13.0	3.2901763916e-05	
197.527407017	6.0	2.09808349609e-05	
301.78554466	22.0	4.50611114502e-05	
275.001951537	17.0	4.10079956055e-05	
204.546291721	12.0	3.31401824951e-05	
